salary_id,employee_id,salary_date,base_salary,bonus,increment_percentage,total_salary
SAL00054,EMP0024,2024-04-22,24711.0,2608,0,27319.0
SAL00055,EMP0024,2025-04-22 00:00:00,27182.1,3532,10,30714.1
SAL00056,EMP0025,2016-12-18,12924.0,1490,0,14414.0
SAL00057,EMP0025,2017-12-18 00:00:00,13570.2,1950,5,15520.2
SAL00058,EMP0026,2017-03-07,6425.0,114,0,6539.0
SAL00059,EMP0026,2018-03-07 00:00:00,7067.5,501,10,7568.5
SAL00060,EMP0026,2019-03-07 00:00:00,7703.58,437,9,8140.58
SAL00061,EMP0027,2023-11-29,19622.0,2802,0,22424.0
SAL00062,EMP0027,2024-11-29 00:00:00,20799.32,1733,6,22532.32
SAL00063,EMP0027,2026-11-29 00:00:00,22463.27,562,8,23025.27
SAL00064,EMP0028,2023-06-15,3124.0,283,0,3407.0
SAL00065,EMP0028,2024-06-15 00:00:00,3342.68,174,7,3516.68
SAL00066,EMP0028,2026-06-15 00:00:00,3676.95,69,10,3745.95
SAL00067,EMP0029,2018-04-11,10564.0,758,0,11322.0
SAL00068,EMP0029,2019-04-11 00:00:00,11514.76,1028,9,12542.76
SAL00069,EMP0030,2015-12-19,8966.0,606,0,9572.0
SAL00070,EMP0030,2016-12-19 00:00:00,9414.3,279,5,9693.3
SAL00071,EMP0030,2018-12-19 00:00:00,10167.44,1325,8,11492.44
SAL00072,EMP0031,2022-09-30,8199.0,1049,0,9248.0
SAL00073,EMP0031,2024-09-30 00:00:00,8690.94,1146,6,9836.94
SAL00074,EMP0031,2026-09-30 00:00:00,8951.67,1217,3,10168.67
SAL00075,EMP0032,2012-04-23,6336.0,355,0,6691.0
SAL00076,EMP0032,2013-04-23 00:00:00,6969.6,854,10,7823.6
SAL00077,EMP0032,2015-04-23 00:00:00,7666.56,348,10,8014.56
SAL00078,EMP0033,2020-05-05,6192.0,535,0,6727.0
SAL00079,EMP0033,2021-05-05 00:00:00,6563.52,409,6,6972.52
SAL00080,EMP0034,2024-10-28,8870.0,1227,0,10097.0
SAL00081,EMP0034,2025-10-28 00:00:00,9313.5,473,5,9786.5
SAL00082,EMP0035,2022-08-02,6129.0,465,0,6594.0
SAL00083,EMP0035,2024-08-02 00:00:00,6619.32,759,8,7378.32
SAL00084,EMP0036,2022-09-13,9968.0,290,0,10258.0
SAL00085,EMP0036,2024-09-13 00:00:00,10765.44,314,8,11079.44
SAL00086,EMP0036,2026-09-13 00:00:00,11626.68,332,8,11958.68
SAL00087,EMP0037,2015-09-13,18280.0,1224,0,19504.0
SAL00088,EMP0038,2020-07-09,3690.0,353,0,4043.0
SAL00089,EMP0039,2018-02-07,4820.0,674,0,5494.0
SAL00090,EMP0039,2020-02-07 00:00:00,5205.6,476,8,5681.6
SAL00091,EMP0039,2022-02-07 00:00:00,5674.1,445,9,6119.1
SAL00092,EMP0040,2012-09-27,8521.0,1194,0,9715.0
SAL00093,EMP0040,2013-09-27 00:00:00,9032.26,1305,6,10337.26
SAL00094,EMP0041,2025-02-21,28261.0,754,0,29015.0
SAL00095,EMP0041,2027-02-21 00:00:00,29391.44,1262,4,30653.44
SAL00096,EMP0042,2025-10-29,31873.0,1405,0,33278.0
SAL00097,EMP0042,2027-10-29 00:00:00,33147.92,4242,4,37389.92
SAL00098,EMP0042,2029-10-29 00:00:00,35468.27,2420,7,37888.27
SAL00099,EMP0043,2016-12-27,17486.0,2605,0,20091.0
SAL00100,EMP0043,2018-12-27 00:00:00,18884.88,1817,8,20701.88
SAL00101,EMP0044,2020-07-01,18899.0,797,0,19696.0
SAL00102,EMP0044,2022-07-01 00:00:00,19654.96,2559,4,22213.96
SAL00103,EMP0044,2023-07-01 00:00:00,20637.71,2670,5,23307.71
SAL00104,EMP0045,2023-06-11,6780.0,661,0,7441.0
SAL00105,EMP0045,2025-06-11 00:00:00,7458.0,1008,10,8466.0
SAL00106,EMP0046,2022-01-29,5941.0,528,0,6469.0
SAL00107,EMP0046,2023-01-29 00:00:00,6119.23,95,3,6214.23
SAL00108,EMP0046,2024-01-29 00:00:00,6669.96,827,9,7496.96
SAL00109,EMP0047,2022-09-11,5628.0,166,0,5794.0
SAL00110,EMP0047,2024-09-11 00:00:00,6078.24,803,8,6881.24
SAL00111,EMP0048,2022-09-01,6868.0,71,0,6939.0
SAL00112,EMP0048,2023-09-01 00:00:00,7348.76,174,7,7522.76
SAL00113,EMP0049,2015-04-18,14308.0,1316,0,15624.0
SAL00114,EMP0049,2017-04-18 00:00:00,14737.24,660,3,15397.24
SAL00115,EMP0050,2017-05-17,15891.0,1312,0,17203.0
SAL00116,EMP0051,2018-08-29,16958.0,1366,0,18324.0
SAL00117,EMP0052,2012-12-04,19752.0,1684,0,21436.0
SAL00118,EMP0053,2024-05-01,29343.0,3502,0,32845.0
SAL00119,EMP0053,2025-05-01 00:00:00,31103.58,4182,6,35285.58
SAL00120,EMP0054,2023-04-18,8029.0,54,0,8083.0
SAL00121,EMP0055,2025-03-16,5466.0,323,0,5789.0
SAL00122,EMP0055,2027-03-16 00:00:00,5739.3,242,5,5981.3
SAL00123,EMP0055,2029-03-16 00:00:00,6255.84,503,9,6758.84
SAL00124,EMP0056,2017-05-02,5548.0,170,0,5718.0
SAL00125,EMP0056,2018-05-02 00:00:00,5991.84,194,8,6185.84
SAL00126,EMP0056,2019-05-02 00:00:00,6531.11,208,9,6739.11
SAL00127,EMP0057,2017-12-06,21339.0,2587,0,23926.0
SAL00128,EMP0057,2019-12-06 00:00:00,23472.9,3072,10,26544.9
SAL00129,EMP0057,2021-12-06 00:00:00,25585.46,1588,9,27173.46
SAL00130,EMP0058,2024-06-22,14510.0,1733,0,16243.0
SAL00131,EMP0059,2021-10-03,12109.0,1028,0,13137.0
SAL00132,EMP0059,2023-10-03 00:00:00,13198.81,749,9,13947.81
SAL00133,EMP0060,2013-12-28,17164.0,1233,0,18397.0
SAL00134,EMP0060,2014-12-28 00:00:00,17678.92,1487,3,19165.92
SAL00135,EMP0061,2021-03-19,7209.0,742,0,7951.0
SAL00136,EMP0061,2023-03-19 00:00:00,7929.9,712,10,8641.9
SAL00137,EMP0061,2024-03-19 00:00:00,8405.69,592,6,8997.69
SAL00138,EMP0062,2012-04-08,17949.0,1589,0,19538.0
SAL00139,EMP0062,2014-04-08 00:00:00,19205.43,721,7,19926.43
SAL00140,EMP0062,2016-04-08 00:00:00,20741.86,731,8,21472.86
SAL00141,EMP0063,2012-10-07,14268.0,1729,0,15997.0
SAL00142,EMP0064,2025-08-01,20947.0,1278,0,22225.0
SAL00143,EMP0064,2027-08-01 00:00:00,21575.41,3172,3,24747.41
SAL00144,EMP0065,2022-09-01,7123.0,46,0,7169.0
SAL00145,EMP0065,2023-09-01 00:00:00,7479.15,130,5,7609.15
SAL00146,EMP0066,2016-02-22,4364.0,394,0,4758.0
SAL00147,EMP0066,2017-02-22 00:00:00,4669.48,575,7,5244.48
SAL00148,EMP0067,2012-06-13,9818.0,711,0,10529.0
SAL00149,EMP0067,2013-06-13 00:00:00,10603.44,1411,8,12014.44
SAL00150,EMP0068,2019-07-16,21028.0,804,0,21832.0
SAL00151,EMP0069,2022-11-25,4039.0,402,0,4441.0
SAL00152,EMP0069,2023-11-25 00:00:00,4240.95,285,5,4525.95
SAL00153,EMP0070,2014-07-15,9062.0,390,0,9452.0
SAL00154,EMP0070,2016-07-15 00:00:00,9696.34,684,7,10380.34
SAL00155,EMP0070,2017-07-15 00:00:00,10278.12,1353,6,11631.12
SAL00156,EMP0071,2018-11-18,13354.0,1,0,13355.0
SAL00157,EMP0072,2018-01-04,31818.0,4757,0,36575.0
SAL00158,EMP0073,2018-10-23,5347.0,770,0,6117.0
SAL00159,EMP0073,2019-10-23 00:00:00,5667.82,336,6,6003.82
SAL00160,EMP0074,2015-06-03,17183.0,190,0,17373.0
SAL00161,EMP0074,2016-06-03 00:00:00,18901.3,2733,10,21634.3
SAL00162,EMP0075,2013-08-19,4591.0,287,0,4878.0
SAL00163,EMP0076,2018-03-25,4701.0,132,0,4833.0
SAL00164,EMP0077,2026-01-11,9459.0,192,0,9651.0
SAL00165,EMP0077,2028-01-11 00:00:00,10121.13,403,7,10524.13
SAL00166,EMP0077,2030-01-11 00:00:00,10627.19,30,5,10657.19
SAL00167,EMP0078,2011-11-18,5816.0,713,0,6529.0
SAL00168,EMP0078,2012-11-18 00:00:00,6281.28,41,8,6322.28
SAL00169,EMP0079,2013-10-31,20702.0,2337,0,23039.0
SAL00170,EMP0080,2016-08-01,8546.0,1089,0,9635.0
SAL00171,EMP0080,2017-08-01 00:00:00,9058.76,81,6,9139.76
SAL00172,EMP0080,2019-08-01 00:00:00,9964.64,1313,10,11277.64
SAL00173,EMP0081,2024-10-20,19746.0,2374,0,22120.0
SAL00174,EMP0081,2026-10-20 00:00:00,20733.3,348,5,21081.3
SAL00175,EMP0081,2027-10-20 00:00:00,22391.96,3286,8,25677.96
SAL00176,EMP0082,2018-08-18,26572.0,2423,0,28995.0
SAL00177,EMP0083,2026-03-12,15897.0,1,0,15898.0
SAL00178,EMP0084,2025-05-24,5047.0,416,0,5463.0
SAL00179,EMP0084,2026-05-24 00:00:00,5400.29,554,7,5954.29
SAL00180,EMP0084,2028-05-24 00:00:00,5940.32,633,10,6573.32
SAL00181,EMP0085,2014-12-04,15643.0,501,0,16144.0
SAL00182,EMP0085,2016-12-04 00:00:00,17050.87,2053,9,19103.87
SAL00183,EMP0085,2017-12-04 00:00:00,18585.45,1772,9,20357.45
SAL00184,EMP0086,2023-09-29,11890.0,1310,0,13200.0
SAL00185,EMP0086,2025-09-29 00:00:00,12246.7,265,3,12511.7
SAL00186,EMP0086,2027-09-29 00:00:00,13471.37,1994,10,15465.37
SAL00187,EMP0087,2017-05-22,21876.0,1125,0,23001.0
SAL00188,EMP0088,2017-04-27,30346.0,110,0,30456.0
SAL00189,EMP0088,2019-04-27 00:00:00,33077.14,3780,9,36857.14
SAL00190,EMP0088,2021-04-27 00:00:00,36384.85,3254,10,39638.85
SAL00191,EMP0089,2014-06-19,17351.0,774,0,18125.0
SAL00192,EMP0089,2016-06-19 00:00:00,17871.53,336,3,18207.53
SAL00193,EMP0090,2015-03-20,10336.0,40,0,10376.0
SAL00194,EMP0091,2022-07-03,14795.0,394,0,15189.0
SAL00195,EMP0091,2023-07-03 00:00:00,15978.6,1789,8,17767.6
SAL00196,EMP0092,2025-02-02,8269.0,1120,0,9389.0
SAL00197,EMP0092,2026-02-02 00:00:00,8765.14,429,6,9194.14
SAL00198,EMP0093,2025-10-05,3970.0,244,0,4214.0
SAL00199,EMP0093,2026-10-05 00:00:00,4287.6,626,8,4913.6
SAL00200,EMP0094,2020-10-24,3059.0,194,0,3253.0
SAL00201,EMP0094,2022-10-24 00:00:00,3273.13,207,7,3480.13
SAL00202,EMP0094,2023-10-24 00:00:00,3502.25,461,7,3963.25
SAL00203,EMP0095,2018-06-01,8447.0,144,0,8591.0
SAL00204,EMP0095,2020-06-01 00:00:00,9291.7,1042,10,10333.7
SAL00205,EMP0096,2015-07-06,6007.0,458,0,6465.0
SAL00206,EMP0096,2016-07-06 00:00:00,6547.63,307,9,6854.63
SAL00207,EMP0097,2018-11-17,6027.0,670,0,6697.0
SAL00208,EMP0098,2018-04-19,11578.0,1271,0,12849.0
SAL00209,EMP0098,2020-04-19 00:00:00,12735.8,1482,10,14217.8
SAL00210,EMP0099,2022-03-23,9399.0,369,0,9768.0
SAL00211,EMP0100,2023-10-18,9956.0,270,0,10226.0
SAL00212,EMP0100,2025-10-18 00:00:00,10553.36,716,6,11269.36
SAL00213,EMP0101,2015-02-09,30712.0,826,0,31538.0
SAL00214,EMP0101,2016-02-09 00:00:00,32861.84,759,7,33620.84
SAL00215,EMP0101,2018-02-09 00:00:00,34176.31,3179,4,37355.31
SAL00216,EMP0102,2021-12-22,11964.0,806,0,12770.0
SAL00217,EMP0103,2018-01-06,7260.0,207,0,7467.0
SAL00218,EMP0104,2019-02-26,12734.0,212,0,12946.0
SAL00219,EMP0104,2021-02-26 00:00:00,13498.04,469,6,13967.04
SAL00220,EMP0104,2023-02-26 00:00:00,14577.88,459,8,15036.88
SAL00221,EMP0105,2015-12-04,10759.0,760,0,11519.0
SAL00222,EMP0105,2017-12-04 00:00:00,11619.72,1141,8,12760.72
SAL00223,EMP0106,2017-04-23,16402.0,1483,0,17885.0
SAL00224,EMP0106,2019-04-23 00:00:00,17878.18,432,9,18310.18
SAL00225,EMP0106,2020-04-23 00:00:00,18593.31,1217,4,19810.31
SAL00226,EMP0107,2012-10-03,8480.0,536,0,9016.0
SAL00227,EMP0107,2013-10-03 00:00:00,9243.2,715,9,9958.2
SAL00228,EMP0107,2015-10-03 00:00:00,10167.52,366,10,10533.52
SAL00229,EMP0108,2012-09-02,7615.0,599,0,8214.0
SAL00230,EMP0108,2014-09-02 00:00:00,7995.75,328,5,8323.75
SAL00231,EMP0108,2016-09-02 00:00:00,8555.45,565,7,9120.45
SAL00232,EMP0109,2019-08-15,6373.0,385,0,6758.0
SAL00233,EMP0109,2021-08-15 00:00:00,6946.57,771,9,7717.57
SAL00234,EMP0110,2017-03-29,22888.0,1439,0,24327.0
SAL00235,EMP0110,2018-03-29 00:00:00,24261.28,792,6,25053.28
SAL00236,EMP0110,2019-03-29 00:00:00,24989.12,1658,3,26647.12
SAL00237,EMP0111,2015-07-22,17824.0,2625,0,20449.0
SAL00238,EMP0111,2017-07-22 00:00:00,18536.96,344,4,18880.96
SAL00239,EMP0111,2018-07-22 00:00:00,19278.44,2493,4,21771.44
SAL00240,EMP0112,2011-08-17,5256.0,784,0,6040.0
SAL00241,EMP0112,2013-08-17 00:00:00,5571.36,383,6,5954.36
SAL00242,EMP0112,2014-08-17 00:00:00,5905.64,229,6,6134.64
SAL00243,EMP0113,2026-04-05,15552.0,1377,0,16929.0
SAL00244,EMP0114,2019-05-08,6028.0,447,0,6475.0
SAL00245,EMP0115,2023-04-07,20516.0,1187,0,21703.0
SAL00246,EMP0116,2017-11-04,9910.0,1484,0,11394.0
SAL00247,EMP0117,2026-06-25,6549.0,368,0,6917.0
SAL00248,EMP0117,2027-06-25 00:00:00,7072.92,289,8,7361.92
SAL00249,EMP0118,2014-08-28,8945.0,947,0,9892.0
SAL00250,EMP0119,2023-02-01,26559.0,1084,0,27643.0
SAL00251,EMP0119,2025-02-01 00:00:00,29214.9,1420,10,30634.9
SAL00252,EMP0120,2012-03-21,14225.0,1747,0,15972.0
SAL00253,EMP0121,2013-03-17,7296.0,11,0,7307.0
SAL00254,EMP0122,2014-12-20,8169.0,300,0,8469.0
SAL00255,EMP0122,2016-12-20 00:00:00,8414.07,1094,3,9508.07
SAL00256,EMP0122,2018-12-20 00:00:00,9255.48,116,10,9371.48
SAL00257,EMP0123,2019-06-09,20036.0,387,0,20423.0
SAL00258,EMP0123,2020-06-09 00:00:00,21238.16,507,6,21745.16
SAL00259,EMP0123,2022-06-09 00:00:00,23149.59,3195,9,26344.59
SAL00260,EMP0124,2021-08-28,10836.0,1258,0,12094.0
SAL00261,EMP0124,2022-08-28 00:00:00,11594.52,510,7,12104.52
SAL00262,EMP0124,2023-08-28 00:00:00,12638.03,1628,9,14266.03
SAL00263,EMP0125,2025-06-12,9367.0,1235,0,10602.0
SAL00264,EMP0125,2027-06-12 00:00:00,10022.69,395,7,10417.69
SAL00265,EMP0125,2029-06-12 00:00:00,11024.96,760,10,11784.96
SAL00266,EMP0126,2022-09-21,10596.0,580,0,11176.0
SAL00267,EMP0126,2023-09-21 00:00:00,11443.68,698,8,12141.68
SAL00268,EMP0127,2023-10-18,4006.0,515,0,4521.0
SAL00269,EMP0127,2024-10-18 00:00:00,4366.54,402,9,4768.54
SAL00270,EMP0127,2025-10-18 00:00:00,4715.86,36,8,4751.86
SAL00271,EMP0128,2018-11-17,28392.0,1802,0,30194.0
SAL00272,EMP0128,2020-11-17 00:00:00,31231.2,3074,10,34305.2
SAL00273,EMP0128,2022-11-17 00:00:00,33105.07,3391,6,36496.07
SAL00274,EMP0129,2013-06-11,7734.0,623,0,8357.0
SAL00275,EMP0130,2020-10-08,32252.0,2982,0,35234.0
SAL00276,EMP0130,2022-10-08 00:00:00,35477.2,4459,10,39936.2
SAL00277,EMP0131,2021-11-17,8897.0,406,0,9303.0
SAL00278,EMP0132,2012-11-29,11048.0,708,0,11756.0
SAL00279,EMP0133,2025-05-05,5977.0,79,0,6056.0
SAL00280,EMP0133,2026-05-05 00:00:00,6455.16,202,8,6657.16
SAL00281,EMP0134,2021-10-25,11916.0,1259,0,13175.0
SAL00282,EMP0134,2023-10-25 00:00:00,12273.48,850,3,13123.48
SAL00283,EMP0134,2024-10-25 00:00:00,13255.36,342,8,13597.36
SAL00284,EMP0135,2019-05-25,26668.0,2850,0,29518.0
SAL00285,EMP0135,2021-05-25 00:00:00,27468.04,1056,3,28524.04
SAL00286,EMP0136,2016-09-21,5354.0,533,0,5887.0
SAL00287,EMP0136,2018-09-21 00:00:00,5675.24,812,6,6487.24
SAL00288,EMP0137,2022-07-30,10106.0,272,0,10378.0
SAL00289,EMP0138,2014-02-09,12616.0,1338,0,13954.0
SAL00290,EMP0139,2018-06-29,3885.0,190,0,4075.0
SAL00291,EMP0140,2023-08-01,5969.0,822,0,6791.0
SAL00292,EMP0140,2024-08-01 00:00:00,6267.45,570,5,6837.45
SAL00293,EMP0141,2018-10-17,14573.0,1093,0,15666.0
SAL00294,EMP0141,2020-10-17 00:00:00,15447.38,928,6,16375.38
SAL00295,EMP0142,2022-02-17,13614.0,1757,0,15371.0
SAL00296,EMP0143,2022-12-30,11097.0,1592,0,12689.0
SAL00297,EMP0143,2024-12-30 00:00:00,11651.85,939,5,12590.85
SAL00298,EMP0144,2020-09-06,4078.0,216,0,4294.0
SAL00299,EMP0145,2022-10-07,29335.0,1809,0,31144.0
SAL00300,EMP0145,2024-10-07 00:00:00,30801.75,282,5,31083.75
SAL00301,EMP0145,2026-10-07 00:00:00,32341.84,4106,5,36447.84
SAL00302,EMP0146,2020-10-09,6384.0,724,0,7108.0
SAL00303,EMP0146,2022-10-09 00:00:00,6703.2,578,5,7281.2
SAL00304,EMP0147,2026-04-23,19538.0,1907,0,21445.0
SAL00305,EMP0147,2028-04-23 00:00:00,20319.52,2094,4,22413.52
SAL00306,EMP0147,2029-04-23 00:00:00,21538.69,515,6,22053.69
SAL00307,EMP0148,2014-06-26,24369.0,120,0,24489.0
SAL00308,EMP0148,2015-06-26 00:00:00,25343.76,1689,4,27032.76
SAL00309,EMP0149,2021-12-29,4817.0,88,0,4905.0
SAL00310,EMP0150,2024-04-15,15275.0,593,0,15868.0
SAL00311,EMP0151,2017-05-31,32208.0,30,0,32238.0
SAL00312,EMP0152,2017-10-06,10214.0,61,0,10275.0
SAL00313,EMP0152,2018-10-06 00:00:00,10520.42,1566,3,12086.42
SAL00314,EMP0152,2020-10-06 00:00:00,11467.26,632,9,12099.26
SAL00315,EMP0153,2017-08-08,31080.0,4564,0,35644.0
SAL00316,EMP0153,2018-08-08 00:00:00,33877.2,4726,9,38603.2
SAL00317,EMP0153,2019-08-08 00:00:00,36248.6,3026,7,39274.6
SAL00318,EMP0154,2018-03-04,9625.0,1336,0,10961.0
SAL00319,EMP0154,2020-03-04 00:00:00,10491.25,34,9,10525.25
SAL00320,EMP0154,2022-03-04 00:00:00,10805.99,845,3,11650.99
SAL00321,EMP0155,2020-01-21,8849.0,1224,0,10073.0
SAL00322,EMP0155,2022-01-21 00:00:00,9733.9,413,10,10146.9
SAL00323,EMP0156,2015-05-25,11743.0,563,0,12306.0
SAL00324,EMP0157,2023-04-27,4814.0,561,0,5375.0
SAL00325,EMP0158,2015-08-24,4020.0,523,0,4543.0
SAL00326,EMP0158,2016-08-24 00:00:00,4180.8,281,4,4461.8
SAL00327,EMP0158,2017-08-24 00:00:00,4598.88,391,10,4989.88
SAL00328,EMP0159,2026-04-12,21627.0,1499,0,23126.0
SAL00329,EMP0160,2024-04-07,9720.0,702,0,10422.0
SAL00330,EMP0160,2026-04-07 00:00:00,10692.0,262,10,10954.0
SAL00331,EMP0160,2028-04-07 00:00:00,11547.36,411,8,11958.36
SAL00332,EMP0161,2018-08-08,16037.0,501,0,16538.0
SAL00333,EMP0162,2015-01-15,6753.0,836,0,7589.0
SAL00334,EMP0162,2017-01-15 00:00:00,7428.3,1081,10,8509.3
SAL00335,EMP0163,2024-04-18,22240.0,3164,0,25404.0
SAL00336,EMP0163,2025-04-18 00:00:00,23574.4,3489,6,27063.4
SAL00337,EMP0164,2026-06-30,9358.0,295,0,9653.0
SAL00338,EMP0164,2027-06-30 00:00:00,10200.22,883,9,11083.22
SAL00339,EMP0164,2029-06-30 00:00:00,11220.24,1245,10,12465.24
SAL00340,EMP0165,2020-12-06,18381.0,830,0,19211.0
SAL00341,EMP0165,2022-12-06 00:00:00,20219.1,465,10,20684.1
SAL00342,EMP0165,2024-12-06 00:00:00,22038.82,2930,9,24968.82
SAL00343,EMP0166,2011-10-07,4545.0,564,0,5109.0
SAL00344,EMP0166,2012-10-07 00:00:00,4817.7,278,6,5095.7
SAL00345,EMP0166,2014-10-07 00:00:00,5058.59,519,5,5577.59
SAL00346,EMP0167,2012-04-09,17622.0,1474,0,19096.0
SAL00347,EMP0168,2025-02-14,14076.0,405,0,14481.0
SAL00348,EMP0168,2027-02-14 00:00:00,14639.04,1552,4,16191.04
SAL00349,EMP0169,2013-07-31,6491.0,71,0,6562.0
SAL00350,EMP0169,2015-07-31 00:00:00,7075.19,680,9,7755.19
SAL00351,EMP0169,2016-07-31 00:00:00,7499.7,821,6,8320.7
SAL00352,EMP0170,2019-07-27,5433.0,225,0,5658.0
SAL00353,EMP0170,2020-07-27 00:00:00,5813.31,690,7,6503.31
SAL00354,EMP0170,2021-07-27 00:00:00,6162.11,118,6,6280.11
SAL00355,EMP0171,2023-12-16,9682.0,989,0,10671.0
SAL00356,EMP0172,2026-06-24,6968.0,851,0,7819.0
SAL00357,EMP0172,2028-06-24 00:00:00,7525.44,1019,8,8544.44
SAL00358,EMP0173,2023-10-18,7613.0,913,0,8526.0
SAL00359,EMP0173,2025-10-18 00:00:00,8145.91,734,7,8879.91
SAL00360,EMP0174,2011-10-02,6717.0,172,0,6889.0
SAL00361,EMP0174,2012-10-02 00:00:00,7187.19,46,7,7233.19
SAL00362,EMP0174,2014-10-02 00:00:00,7546.55,994,5,8540.55
SAL00363,EMP0175,2021-09-28,7005.0,483,0,7488.0
SAL00364,EMP0175,2022-09-28 00:00:00,7565.4,940,8,8505.4
SAL00365,EMP0176,2017-06-30,7190.0,86,0,7276.0
SAL00366,EMP0177,2015-08-26,20022.0,2901,0,22923.0
SAL00367,EMP0177,2017-08-26 00:00:00,21023.1,1985,5,23008.1
SAL00368,EMP0177,2019-08-26 00:00:00,22074.26,2471,5,24545.26
SAL00369,EMP0178,2013-02-16,5526.0,526,0,6052.0
SAL00370,EMP0178,2014-02-16 00:00:00,5912.82,282,7,6194.82
SAL00371,EMP0178,2016-02-16 00:00:00,6385.85,436,8,6821.85
SAL00372,EMP0179,2026-06-26,32663.0,358,0,33021.0
SAL00373,EMP0179,2028-06-26 00:00:00,33969.52,738,4,34707.52
SAL00374,EMP0180,2017-08-30,17833.0,1560,0,19393.0
SAL00375,EMP0180,2019-08-30 00:00:00,18546.32,91,4,18637.32
SAL00376,EMP0181,2022-10-25,7849.0,345,0,8194.0
SAL00377,EMP0182,2014-10-18,10347.0,46,0,10393.0
SAL00378,EMP0182,2015-10-18 00:00:00,10967.82,1199,6,12166.82
SAL00379,EMP0182,2016-10-18 00:00:00,11845.25,789,8,12634.25
SAL00380,EMP0183,2021-03-24,9847.0,438,0,10285.0
SAL00381,EMP0184,2022-04-10,7342.0,822,0,8164.0
